id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
77259986,,35000.0,35000.0,35000.0, 60 months,10.75,756.63,B,B4,Sr Business Applications Analyst,< 1 year,MORTGAGE,130000.0,Verified,Apr-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=77259986,,debt_consolidation,Debt consolidation,300xx,GA,19.62,3.0,Jan-1992,685.0,689.0,0.0,8.0,,10.0,0.0,96169.0,98.0,27.0,w,16879.78,16879.78,26461.15,26461.15,18120.22,8340.93,0.0,0.0,0.0,Mar-2019,756.63,Apr-2019,Mar-2018,729.0,725.0,0.0,20.0,1.0,Individual,,,,0.0,0.0,387480.0,0.0,3.0,0.0,1.0,9.0,54055.0,76.0,0.0,0.0,5444.0,98.0,98000.0,0.0,1.0,0.0,1.0,38748.0,3800.0,98.0,0.0,0.0,130.0,287.0,33.0,9.0,2.0,33.0,22.0,13.0,22.0,0.0,3.0,5.0,8.0,9.0,13.0,5.0,11.0,5.0,10.0,,0.0,1.0,0.0,89.0,100.0,0.0,0.0,458930.0,75149.0,11400.0,70880.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
90651372,,8400.0,8400.0,8400.0, 36 months,7.99,263.19,A,A5,Driver,< 1 year,RENT,27000.0,Source Verified,Oct-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=90651372,,car,Car financing,927xx,CA,18.71,1.0,Feb-2011,725.0,729.0,1.0,4.0,,11.0,0.0,651.0,3.3,17.0,f,1794.1,1794.1,7625.05,7625.05,6605.9,1019.15,0.0,0.0,0.0,Mar-2019,263.19,Apr-2019,Mar-2019,679.0,675.0,0.0,,1.0,Individual,,,,0.0,0.0,6645.0,0.0,1.0,0.0,1.0,17.0,5994.0,60.0,0.0,0.0,460.0,22.0,19800.0,0.0,0.0,1.0,1.0,665.0,14949.0,4.2,0.0,0.0,68.0,68.0,26.0,17.0,0.0,26.0,4.0,0.0,4.0,0.0,3.0,3.0,5.0,6.0,4.0,10.0,13.0,3.0,11.0,0.0,0.0,0.0,0.0,94.1,0.0,0.0,0.0,29800.0,6645.0,15600.0,10000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
49983414,,22950.0,22950.0,22950.0, 36 months,16.55,813.1,D,D2,Registered Nurse,10+ years,RENT,65000.0,Source Verified,Jun-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=49983414,,debt_consolidation,Debt consolidation,033xx,NH,22.38,0.0,Jun-2003,670.0,674.0,0.0,,,29.0,0.0,24124.0,49.1,40.0,f,0.0,0.0,28301.090243926803,28301.09,22950.0,5351.09,0.0,0.0,0.0,May-2017,10433.99,,Jul-2018,679.0,675.0,0.0,,1.0,Individual,,,,0.0,0.0,49312.0,,,,,,,,,,,,49100.0,,,,10.0,1972.0,4197.0,75.6,0.0,0.0,143.0,101.0,2.0,2.0,0.0,2.0,,10.0,,0.0,7.0,18.0,8.0,12.0,4.0,28.0,36.0,19.0,29.0,0.0,0.0,0.0,3.0,100.0,50.0,0.0,0.0,77235.0,49312.0,17200.0,28135.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
65694779,,10000.0,10000.0,9850.0, 60 months,19.99,264.89,E,E4,Server,1 year,RENT,45000.0,Source Verified,Nov-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=65694779,,credit_card,Credit card refinancing,550xx,MN,19.94,0.0,Aug-2008,670.0,674.0,0.0,,,6.0,0.0,13246.0,86.0,22.0,f,4474.64,4407.52,10584.49,10425.72,5525.36,5059.13,0.0,0.0,0.0,Mar-2019,264.89,Apr-2019,Mar-2019,674.0,670.0,0.0,,1.0,Individual,,,,0.0,0.0,161966.0,,,,,,,,,,,,15400.0,,,,2.0,26994.0,2154.0,86.0,0.0,0.0,87.0,87.0,10.0,10.0,0.0,10.0,,16.0,,0.0,2.0,2.0,2.0,3.0,18.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,162841.0,161966.0,15400.0,147441.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
51868227,,9000.0,9000.0,9000.0, 36 months,13.33,304.68,C,C3,corrections officer,10+ years,MORTGAGE,75000.0,Source Verified,Jul-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=51868227,,other,Other,956xx,CA,8.42,0.0,Jul-1985,725.0,729.0,0.0,24.0,97.0,8.0,1.0,1997.0,15.8,15.0,w,0.0,0.0,9874.58,9874.58,9000.0,874.58,0.0,0.0,0.0,Apr-2016,7443.8,,Aug-2018,724.0,720.0,0.0,,1.0,Individual,,,,0.0,0.0,20377.0,,,,,,,,,,,,12600.0,,,,5.0,2547.0,4703.0,29.8,0.0,0.0,81.0,359.0,7.0,7.0,0.0,15.0,24.0,15.0,24.0,0.0,3.0,3.0,3.0,5.0,4.0,6.0,11.0,3.0,8.0,0.0,0.0,0.0,4.0,86.7,0.0,1.0,0.0,33357.0,20377.0,6700.0,20757.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
105355252,,1100.0,1100.0,1100.0, 36 months,7.99,34.47,A,A5,Medical Assistant,< 1 year,RENT,32000.0,Source Verified,Apr-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=105355252,,other,Other,800xx,CO,32.28,0.0,Aug-2005,695.0,699.0,2.0,,,14.0,0.0,6372.0,55.9,21.0,w,382.67,382.67,835.65,835.65,717.33,118.32,0.0,0.0,0.0,Mar-2019,34.47,Apr-2019,Mar-2019,714.0,710.0,0.0,,1.0,Individual,,,,0.0,3761.0,51987.0,1.0,8.0,0.0,1.0,21.0,45615.0,93.0,1.0,1.0,5558.0,86.0,11400.0,0.0,1.0,2.0,2.0,3999.0,2560.0,70.9,0.0,0.0,113.0,140.0,5.0,5.0,0.0,28.0,,0.0,,0.0,2.0,3.0,3.0,6.0,10.0,6.0,11.0,3.0,14.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,60710.0,51987.0,8800.0,49310.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
121740967,,18000.0,18000.0,18000.0, 60 months,9.93,381.83,B,B2,Owner/Manager,10+ years,OWN,55500.0,Not Verified,Oct-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=121740967,,car,Car financing,172xx,PA,16.59,0.0,Feb-2012,720.0,724.0,3.0,,,15.0,0.0,11685.0,24.1,17.0,w,13325.48,13325.48,6881.18,6881.18,4674.52,2206.66,0.0,0.0,0.0,Mar-2019,381.83,Apr-2019,Mar-2019,709.0,705.0,0.0,,1.0,Individual,,,,0.0,0.0,17198.0,2.0,1.0,0.0,1.0,19.0,5513.0,44.0,4.0,8.0,4245.0,28.0,48500.0,1.0,2.0,4.0,10.0,1147.0,19124.0,29.2,0.0,0.0,68.0,46.0,3.0,3.0,0.0,3.0,,0.0,,0.0,9.0,11.0,11.0,11.0,3.0,13.0,13.0,11.0,15.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,60905.0,17198.0,27000.0,12405.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
144860947,,7000.0,7000.0,7000.0, 36 months,10.72,228.25,B,B2,,,OWN,28100.0,Not Verified,Dec-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=144860947,,debt_consolidation,Debt consolidation,287xx,NC,18.75,0.0,Jun-1998,695.0,699.0,0.0,35.0,,2.0,0.0,36468.0,,8.0,w,6323.56,6323.56,833.0,833.0,676.44,156.56,0.0,0.0,0.0,Mar-2019,208.92,Apr-2019,Mar-2019,704.0,700.0,0.0,,1.0,Individual,,,,0.0,0.0,39832.0,0.0,1.0,0.0,0.0,52.0,3364.0,21.0,0.0,0.0,0.0,21.0,45000.0,0.0,0.0,0.0,0.0,19916.0,,,0.0,0.0,154.0,246.0,140.0,52.0,0.0,,,,35.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,87.5,,0.0,0.0,61300.0,39832.0,0.0,16300.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
122973145,,17000.0,17000.0,17000.0, 36 months,12.62,569.7,C,C1,Teacher,10+ years,MORTGAGE,70000.0,Not Verified,Nov-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=122973145,,credit_card,Credit card refinancing,296xx,SC,14.61,4.0,Nov-2000,660.0,664.0,0.0,9.0,,24.0,0.0,16503.0,69.1,54.0,f,10226.93,10226.93,9119.92,9119.92,6773.07,2346.85,0.0,0.0,0.0,Mar-2019,569.7,Apr-2019,Mar-2019,679.0,675.0,0.0,9.0,1.0,Individual,,,,0.0,0.0,168646.0,1.0,3.0,0.0,0.0,52.0,19090.0,53.0,2.0,3.0,2493.0,59.0,23900.0,0.0,3.0,0.0,3.0,7027.0,1076.0,81.4,0.0,0.0,176.0,204.0,3.0,3.0,3.0,3.0,9.0,19.0,9.0,1.0,6.0,16.0,6.0,14.0,8.0,19.0,43.0,16.0,24.0,0.0,0.0,2.0,2.0,77.4,50.0,0.0,0.0,235064.0,35593.0,5800.0,36264.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
121927937,,12000.0,12000.0,12000.0, 36 months,9.44,384.06,B,B1,Director of School Counseling,10+ years,RENT,120000.0,Not Verified,Nov-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=121927937,,debt_consolidation,Debt consolidation,201xx,VA,11.26,0.0,Mar-1976,665.0,669.0,0.0,62.0,52.0,9.0,1.0,9419.0,34.6,21.0,w,7081.7,7081.7,6151.25,6151.25,4918.3,1232.95,0.0,0.0,0.0,Mar-2019,384.06,Apr-2019,Mar-2019,694.0,690.0,0.0,62.0,1.0,Individual,,,,0.0,0.0,31813.0,0.0,2.0,0.0,1.0,15.0,22394.0,56.0,0.0,0.0,6593.0,47.0,27200.0,2.0,0.0,2.0,1.0,4545.0,3141.0,74.9,0.0,0.0,37.0,499.0,27.0,15.0,1.0,27.0,62.0,8.0,62.0,1.0,2.0,3.0,3.0,9.0,3.0,7.0,17.0,3.0,9.0,0.0,0.0,0.0,0.0,89.5,50.0,1.0,0.0,67572.0,31813.0,12500.0,40372.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
